tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
1584,09:36.7,36:00.9,442,Hyde Park Ave at Walk Hill St,42.29606705,-71.116012,122,Burlington Ave at Brookline Ave,42.345733,-71.100694,4587,Subscriber,1967,1
894,40:48.2,55:43.0,80,MIT Stata Center at Vassar St / Main St,42.36213123,-71.09115601,144,Rogers St & Land Blvd,42.36575798,-71.07699394,2340,Subscriber,1994,1
973,58:05.4,14:18.4,57,Columbus Ave at Massachusetts Ave,42.34054262,-71.08138848,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,2910,Subscriber,1994,1
606,46:45.0,56:51.4,149,175 N Harvard St,42.363796,-71.129164,221,Verizon Innovation Hub 10 Ware Street,42.37250865,-71.11305356,4526,Subscriber,1992,1
428,49:27.9,56:36.7,426,Surface Rd at Summer St,42.3529457,-71.05656401,420,Charles St at Pinckney St,42.3587253,-71.07079532,3780,Subscriber,1989,1
487,24:03.2,32:11.1,12,Ruggles T Stop - Columbus Ave at Melnea Cass Blvd,42.33624445,-71.08798563,13,Boston Medical Center - E Concord St at Harrison Ave,42.33639915,-71.07306711,2122,Subscriber,1962,2
1243,54:57.7,15:41.6,160,Wentworth Institute of Technology - Huntington Ave at Vancouver St,42.33758601,-71.09627098,374,Tremont St at Hamilton Pl,42.35668335,-71.06166646,3907,Subscriber,2002,1
894,07:30.2,22:24.4,61,Boylston St at Fairfield St,42.348762,-71.082383,178,MIT Pacific St at Purrington St,42.3595732,-71.10129476,4890,Subscriber,1990,2
1045,16:48.0,34:14.0,105,Lower Cambridgeport at Magazine St / Riverside Rd,42.3572185,-71.11387163,84,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,42.366981,-71.076472,5560,Subscriber,1969,1
490,18:16.5,26:27.3,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,96,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075,5306,Subscriber,1968,2
1791,28:51.5,58:42.8,54,Tremont St at West St,42.354979,-71.063348,8,Union Square - Brighton Ave at Cambridge St,42.353334,-71.137313,2629,Customer,1993,1
406,30:56.4,37:42.9,179,MIT Vassar St,42.35560121,-71.10394478,107,Ames St at Main St,42.3625,-71.08822,2486,Subscriber,1997,1
742,22:10.9,34:33.7,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,144,Rogers St & Land Blvd,42.36575798,-71.07699394,5160,Customer,1986,1
681,13:48.3,25:09.9,190,Nashua Street at Red Auerbach Way,42.365673,-71.064263,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,3076,Subscriber,1987,1
200,46:55.8,50:16.1,53,Beacon St at Massachusetts Ave,42.35082681,-71.08981088,361,Deerfield St at Commonwealth Ave,42.34924377,-71.0972821,5877,Subscriber,1998,1
564,26:06.8,35:31.5,21,Prudential Center - Belvedere St,42.34652004,-71.08065777,122,Burlington Ave at Brookline Ave,42.345733,-71.100694,3081,Subscriber,1995,1
1589,52:37.4,19:07.2,103,JFK Crossing at Harvard St. / Thorndike St.,42.346563,-71.128374,23,Boston City Hall - 28 State St,42.35892,-71.057629,4878,Subscriber,1970,1
953,32:23.0,48:16.1,332,Harvard Ave at Brainerd Rd,42.34953017,-71.13022771,25,South End Library - Tremont St at W Newton St,42.341332,-71.076847,3646,Subscriber,1993,1
1173,49:23.8,08:57.0,225,Cambridge Dept. of Public Works -147 Hampshire St.,42.37119728,-71.09759867,227,Silber Way,42.349496,-71.10057592,3092,Subscriber,1994,1
409,13:59.5,20:48.6,10,B.U. Central - 725 Comm. Ave.,42.350406,-71.108279,361,Deerfield St at Commonwealth Ave,42.34924377,-71.0972821,4100,Subscriber,1983,1
459,13:08.6,20:48.2,190,Nashua Street at Red Auerbach Way,42.365673,-71.064263,43,Rowes Wharf at Atlantic Ave,42.357143,-71.050699,5376,Subscriber,1974,1
604,39:43.9,49:48.3,46,Christian Science Plaza - Massachusetts Ave at Westland Ave,42.34366582,-71.08582377,361,Deerfield St at Commonwealth Ave,42.34924377,-71.0972821,2806,Subscriber,1994,1
153,39:10.0,41:44.0,110,Harvard University Gund Hall at Quincy St / Kirkland S,42.376369,-71.114025,79,Beacon St at Washington / Kirkland,42.37842,-71.105668,2681,Subscriber,1991,1
1428,09:31.7,33:20.3,361,Deerfield St at Commonwealth Ave,42.34924377,-71.0972821,90,Lechmere Station at Cambridge St / First St,42.370677,-71.076529,2486,Subscriber,1989,2
522,18:02.0,26:44.2,369,Boston Public Market,42.36254854,-71.05737358,22,South Station - 700 Atlantic Ave,42.352175,-71.055547,4349,Subscriber,1964,1
424,36:18.7,43:23.2,189,Kendall T,42.36242784,-71.08495474,60,Charles Circle - Charles St at Cambridge St,42.36079297,-71.07118962,4957,Subscriber,1990,1
508,58:36.2,07:04.2,225,Cambridge Dept. of Public Works -147 Hampshire St.,42.37119728,-71.09759867,189,Kendall T,42.36242784,-71.08495474,2753,Subscriber,1989,1
647,25:44.2,36:32.0,53,Beacon St at Massachusetts Ave,42.35082681,-71.08981088,51,Washington St at Lenox St,42.33509899,-71.07903779,3978,Subscriber,1991,2
937,35:26.0,51:03.7,94,Main St at Austin St,42.375603,-71.064608,157,Seaport Blvd at Sleeper St,42.35317809,-71.04817357,3842,Subscriber,1983,1
709,06:59.9,18:49.5,66,Allston Green District - Griggs St at Commonwealth Ave,42.34922469,-71.13275303,446,700 Commonwealth Ave.,42.34960945,-71.10391524,3533,Subscriber,1994,0
562,38:09.6,47:32.6,46,Christian Science Plaza - Massachusetts Ave at Westland Ave,42.34366582,-71.08582377,342,Boylston St at Jersey St,42.34465063,-71.09732501,3594,Customer,1969,0
673,43:49.9,55:03.3,161,W Broadway at D St,42.3391085,-71.0514432,365,Harrison Ave at Bennet St,42.3494261,-71.0620996,2817,Subscriber,1980,1
529,05:34.4,14:24.2,43,Rowes Wharf at Atlantic Ave,42.357143,-71.050699,135,ID Building East,42.344827,-71.028664,4840,Subscriber,1985,1
1033,06:36.3,23:49.7,420,Charles St at Pinckney St,42.3587253,-71.07079532,94,Main St at Austin St,42.375603,-71.064608,2804,Subscriber,1965,2
383,00:20.5,06:44.1,80,MIT Stata Center at Vassar St / Main St,42.36213123,-71.09115601,386,Sennott Park  Broadway at Norfolk Street,42.36860524,-71.09930186,3686,Subscriber,1994,1
479,26:38.3,34:38.1,234,Broadway at Central St,42.3951715,-71.09850592,328,Grove St at Community Path,42.39638681,-71.12011306,2613,Subscriber,1988,1
503,04:07.1,12:31.0,53,Beacon St at Massachusetts Ave,42.35082681,-71.08981088,9,Commonwealth Ave at Agganis Way,42.35169202,-71.11903489,5316,Subscriber,1995,2
241,40:32.7,44:34.2,46,Christian Science Plaza - Massachusetts Ave at Westland Ave,42.34366582,-71.08582377,61,Boylston St at Fairfield St,42.348762,-71.082383,3351,Subscriber,1994,1
1033,34:15.5,51:29.5,178,MIT Pacific St at Purrington St,42.3595732,-71.10129476,190,Nashua Street at Red Auerbach Way,42.365673,-71.064263,4163,Subscriber,1995,2
3117,38:03.1,30:00.5,49,Stuart St at Charles St,42.351146,-71.066289,49,Stuart St at Charles St,42.351146,-71.066289,5379,Customer,1969,0
720,07:45.1,19:45.4,156,Somerville Hospital,42.39678589,-71.10237297,112,Clarendon Hill at Broadway,42.406302,-71.132446,4152,Subscriber,1985,1
230,21:54.3,25:45.3,179,MIT Vassar St,42.35560121,-71.10394478,177,University Park,42.36264779,-71.10006094,5718,Subscriber,1997,1
565,57:25.6,06:51.5,380,Mass Ave at Albany St,42.36135838,-71.09670274,105,Lower Cambridgeport at Magazine St / Riverside Rd,42.3572185,-71.11387163,1114,Subscriber,1992,2
265,43:55.9,48:21.5,178,MIT Pacific St at Purrington St,42.3595732,-71.10129476,139,Dana Park,42.36178044,-71.10809952,2413,Subscriber,1994,1
559,43:26.9,52:46.7,30,Brigham Circle - Francis St at Huntington Ave,42.33462893,-71.10407918,30,Brigham Circle - Francis St at Huntington Ave,42.33462893,-71.10407918,4093,Subscriber,1992,2
1045,09:42.4,27:07.7,84,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,42.366981,-71.076472,233,St Mary's,42.34619708,-71.10728681,5934,Subscriber,1987,1
352,54:52.4,00:45.4,399,Shawmut Ave at Oak St W,42.34854543,-71.06559185,59,Chinatown Gate Plaza,42.351356,-71.059367,5629,Subscriber,1983,1
702,31:06.1,42:48.7,8,Union Square - Brighton Ave at Cambridge St,42.353334,-71.137313,233,St Mary's,42.34619708,-71.10728681,2243,Subscriber,1995,1
508,51:52.6,00:20.8,377,Perry Park,42.37927325,-71.10341903,318,Ames St at Broadway,42.3636929,-71.0875672,3413,Subscriber,1994,1
246,39:43.6,43:49.6,227,Silber Way,42.349496,-71.10057592,10,B.U. Central - 725 Comm. Ave.,42.350406,-71.108279,6121,Subscriber,1989,2
26320,49:05.7,07:46.7,404,Mass Ave T Station,42.34135616,-71.08336953,21,Prudential Center - Belvedere St,42.34652004,-71.08065777,4344,Customer,1969,0
376,30:42.0,36:58.9,50,Boylston St at Berkeley St,42.35114198,-71.07329249,23,Boston City Hall - 28 State St,42.35892,-71.057629,4827,Subscriber,1990,1
606,05:56.2,16:02.7,94,Main St at Austin St,42.375603,-71.064608,190,Nashua Street at Red Auerbach Way,42.365673,-71.064263,2749,Subscriber,1997,2
354,51:10.3,57:04.9,159,S Huntington Ave at Heath St,42.32760387,-71.1108917,125,Hyde Square - Barbara St at Centre St,42.32176526,-71.10984161,5936,Subscriber,1990,1
1348,27:09.2,49:37.8,370,Dartmouth St at Newbury St,42.35096144,-71.07782811,157,Seaport Blvd at Sleeper St,42.35317809,-71.04817357,4002,Customer,1995,1
735,38:05.6,50:21.0,69,Coolidge Corner - Beacon St at Centre St,42.341598,-71.123338,55,Boylston St at Massachusetts Ave,42.347265,-71.088088,3261,Subscriber,1994,1
154,15:42.2,18:17.1,118,Linear Park - Mass. Ave. at Cameron Ave. ,42.397828,-71.130516,100,Davis Square,42.396969,-71.123024,4419,Subscriber,1967,2
259,41:24.6,45:44.0,107,Ames St at Main St,42.3625,-71.08822,107,Ames St at Main St,42.3625,-71.08822,428,Subscriber,1988,1
299,48:45.4,53:44.7,108,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,42.377945,-71.116865,99,Wilson Square,42.38567579,-71.11412136,3211,Subscriber,1994,1
556,43:23.7,52:40.0,161,W Broadway at D St,42.3391085,-71.0514432,48,Post Office Square,42.35585436,-71.05459746,3777,Subscriber,1993,1
246,15:17.6,19:24.5,75,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469,-71.10057324,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,2353,Subscriber,1964,1
3264,44:34.6,38:58.9,163,The Lawn on D,42.344792,-71.044024,163,The Lawn on D,42.344792,-71.044024,4942,Customer,1969,0
1202,01:35.3,21:38.1,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,3780,Customer,1969,0
1049,30:32.8,48:02.2,121,W Broadway at Dorchester St,42.33595898,-71.046229,40,Lewis Wharf at Atlantic Ave,42.363871,-71.050877,3805,Subscriber,1982,2
