Date,Calories (kcal),Step count
11/5/16,368.4736485,2062
11/6/16,1873.402466,5874
11/7/16,1755.659184,2267
11/8/16,1617.132617,2003
11/9/16,1801.634222,4216
11/10/16,1731.41413,3259
11/11/16,1760.57848,3106
11/12/16,1656.242733,5758
11/13/16,1748.578923,5017
11/14/16,1773.876727,3415
11/15/16,1682.416361,2862
11/16/16,1739.602937,2165
11/17/16,1735.383325,2917
11/18/16,1757.027954,2852
11/19/16,1768.435913,2883
11/20/16,1640.677241,1214
11/21/16,1703.370625,2366
11/22/16,1783.685889,2197
11/23/16,1778.748844,3127
11/24/16,1802.213101,3106
11/25/16,1737.084528,1477
11/26/16,1740.174162,3138
11/27/16,1695.159751,493
11/28/16,1874.055853,5259
11/29/16,1772.658831,2979
11/30/16,1767.637677,2729
12/1/16,1715.51776,2031
12/2/16,1753.938874,3169
12/3/16,1774.774626,5544
12/4/16,1707.442304,943
12/5/16,1793.233674,3964
12/6/16,1780.576374,3320
12/7/16,1762.486024,2439
12/8/16,1795.502333,3443
12/9/16,1693.429196,3424
12/10/16,1628.35824,2848
12/11/16,1831.088113,6398
12/12/16,2044.450232,11196
12/13/16,1780.366577,5959
12/14/16,1828.208977,11124
12/15/16,1611.776968,6063
12/16/16,1827.674209,8596
12/17/16,1731.081214,6006
12/18/16,1685.009869,2821
12/19/16,1634.113937,1037
12/20/16,1633.406913,512
12/21/16,1672.194108,525
12/22/16,1739.571679,93
12/23/16,1734.903206,219
12/24/16,1676.895999,1435
12/25/16,1699.75047,564
12/26/16,1655.030433,1794
12/27/16,1695.683691,4835
12/28/16,1741.606444,4348
12/29/16,1703.217285,2479
12/30/16,1683.930214,1288
12/31/16,1676.222652,1335
1/1/17,1675.985955,940
1/2/17,1650.316833,1182
1/3/17,1675.659424,4785
1/4/17,1781.945258,4908
1/5/17,1980.817915,6961
1/6/17,1746.178813,3416
1/7/17,1734.927669,1045
1/8/17,1765.613262,1562
1/9/17,1827.109229,7617
1/10/17,1745.495838,3434
1/11/17,1647.754702,1698
1/12/17,1706.987509,3203
1/13/17,1771.058469,3136
1/14/17,1679.853912,2732
1/15/17,1659.716359,1048
1/16/17,1760.69228,2266
1/17/17,1825.099414,3594
1/18/17,1515.16155,3386
1/19/17,1699.221502,3318
1/20/17,1832.855393,5821
1/21/17,1667.545733,785
1/22/17,1795.629796,3592
1/23/17,1441.659023,4888
1/24/17,1688.402579,3563
1/25/17,1683.302714,3269
1/26/17,1766.478393,3582
1/27/17,1753.355086,3155
1/28/17,1633.162373,3020
1/29/17,1706.966548,946
1/30/17,1536.571989,5415
1/31/17,1506.087964,5030
2/1/17,1411.151741,3512
2/2/17,1822.115105,3983
2/3/17,1758.523221,2130
2/4/17,1751.932386,1680
2/5/17,1730.062622,963
2/6/17,1797.444234,4265
2/7/17,1834.212839,4491
2/8/17,1757.875961,3082
2/9/17,1743.95997,4773
2/10/17,1741.349864,3198
2/11/17,1833.242563,5500
2/12/17,1729.238428,2811
2/13/17,1394.168871,4380
2/14/17,1847.855395,4645
2/15/17,1784.769624,2920
2/16/17,1797.082414,2804
2/17/17,1822.797288,3557
